state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
0,9,0,1,0,0,0,2,274.595231
0,10,0,1,0,0,0,2,269.873356
0,11,0,1,1,0,0,2,285.054946
0,12,0,1,0,0,0,2,265.897301
0,13,0,1,1,0,0,2,279.207416
0,14,0,1,0,0,0,3,269.909475
1,15,1,0,0,0,1,1,277.895229
0,15,1,1,0,0,0,2,270.591778
0,16,1,1,1,0,0,2,292.175097
0,17,1,1,0,0,0,0,313.954169
6,17,1,0,0,1,0,2,328.691397
6,18,1,1,1,0,0,3,345.521141
7,17,1,0,0,0,1,0,364.827705
8,17,1,0,0,0,0,0,371.29428
9,17,1,0,0,0,0,0,384.902832
10,17,1,0,0,0,0,0,386.090612
11,17,1,0,0,1,0,0,398.415868
12,17,1,0,0,0,0,0,383.3115
13,17,1,0,0,1,1,0,362.67533
14,17,1,0,0,1,0,1,381.420577
13,17,1,0,0,1,1,1,401.14233
12,17,1,0,0,0,0,2,383.242552
12,18,1,0,1,0,0,3,399.60164
14,17,1,0,0,1,0,0,345.135265
15,17,1,0,0,0,1,1,364.062716
14,17,1,0,0,1,0,2,345.524149
14,18,1,1,1,0,0,3,366.7765
14,18,1,1,1,0,0,2,314.791415
14,19,1,0,0,0,1,1,332.498888
13,19,1,0,0,1,1,0,314.816452
13,19,1,0,0,1,1,1,351.054136
12,19,1,0,0,0,1,0,331.762066
14,19,1,0,0,0,1,3,339.685186
14,19,1,0,0,0,1,0,299.04388
15,19,1,0,0,1,1,1,315.830651
12,19,1,0,0,0,1,1,369.612518
11,19,1,0,0,0,1,0,351.113213
12,17,1,0,0,0,0,3,391.514912
4,0,1,0,0,1,0,1,311.803466
6,2,0,1,0,0,0,0,363.521024
7,2,0,0,0,1,0,0,399.651183
9,2,0,0,0,0,0,0,395.976118
10,2,1,0,0,0,0,0,440.742809
11,2,0,0,0,1,1,0,372.045678
15,1,0,0,0,0,1,1,332.227496
14,1,0,0,0,0,0,2,319.972078
14,2,0,1,1,0,0,2,315.496116
14,3,0,0,0,0,0,1,324.43881
12,4,0,0,1,0,0,1,341.657836
11,4,0,0,0,1,0,1,355.418455
10,5,1,0,0,0,0,3,377.685599
10,4,1,0,0,0,0,0,358.259051
10,4,1,0,0,0,0,1,385.596697
9,4,1,0,0,0,0,1,370.05083
8,4,1,0,0,0,0,3,203.00702
8,3,0,0,0,0,0,1,336.713325
6,3,0,0,0,0,1,1,317.876578
5,3,0,0,0,1,1,1,301.271655
4,3,0,0,0,0,0,2,284.211853
4,4,0,1,1,0,0,2,272.055535
3,5,1,0,0,1,1,1,282.149747
0,2,0,1,0,0,0,0,290.233243
2,10,1,0,0,0,0,1,295.781236
1,10,1,0,0,0,1,3,281.034932
1,9,1,0,0,0,0,1,271.878326
0,9,1,1,0,0,0,0,281.113423
2,10,1,0,0,0,0,3,296.755877
2,9,1,0,0,0,0,1,281.327876
2,13,1,1,0,0,0,2,326.417617
2,14,1,0,1,0,0,3,344.283469
1,14,0,0,0,1,0,0,312.117758
2,15,1,0,0,0,0,3,326.191598
2,14,1,0,1,0,0,1,308.97253
1,14,1,0,0,1,0,0,326.22598
3,13,1,0,0,1,1,0,345.160439
4,13,1,0,0,0,0,0,362.951792
5,13,1,0,0,1,1,0,381.621676
6,13,1,0,0,0,1,1,361.760684
6,13,1,0,0,0,1,0,401.906843
7,13,1,0,0,0,0,0,234.232167
10,13,0,0,1,0,0,3,477.673042
12,10,1,0,0,0,0,0,420.878144
13,10,1,0,0,0,0,0,404.631321
14,10,1,0,0,0,0,0,412.547774
15,10,1,0,0,0,0,0,370.675789
16,10,1,0,0,0,0,1,387.467052
